year,name,mileage,transmission,price,city
2018,BMW 530i,7500,Automatic,835000000,DKI Jakarta
2017,Nissan Grand Livina,25000,Automatic,132000000,DKI Jakarta
2003,Honda Odyssey,92500,Automatic,78000000,Jawa Timur
2019,Honda HR-V,17500,Automatic,280000000,Jawa Barat
2017,Honda Brio,25000,Automatic,119000000,Jawa Barat
2014,Honda Brio,40000,Automatic,102000000,Jawa Barat
2020,Honda Brio,12500,Automatic,160500000,Jawa Timur
2016,Mitsubishi Pajero Sport,48000,Automatic,385000000,Jawa Barat
2016,Toyota Sienta,35500,Automatic,165000000,Jawa Barat
2013,BMW 320i,52500,Automatic,318000000,Jawa Timur
2016,Toyota Fortuner,44500,Automatic,358000000,Jawa Barat
2006,Toyota Fortuner,162500,Automatic,150000888,Jawa Timur
2003,Honda Odyssey,132500,Automatic,80500000,Jawa Timur
2017,Honda Mobilio,77500,Manual,155000888,Jawa Timur
2015,Mercedes-Benz C250,21000,Automatic,535000000,DKI Jakarta
2015,Toyota Kijang Innova,67500,Manual,165000888,Jawa Timur
2017,Honda Brio,25500,Automatic,118000000,DKI Jakarta
2019,Mitsubishi Pajero Sport,14500,Automatic,458000000,Jawa Barat
2015,Mitsubishi Pajero Sport,33000,Automatic,309000000,Jawa Barat
2020,Mazda CX-3,2500,Automatic,335000000,DKI Jakarta
2018,Mitsubishi Pajero Sport,18000,Automatic,448000000,Jawa Barat
2013,Mitsubishi Outlander Sport,34000,Automatic,175000000,Jawa Barat
2014,Suzuki APV,50500,Manual,85000000,DKI Jakarta
2014,BMW 320i,27500,Automatic,355000000,DKI Jakarta
2018,Honda Civic,37500,Automatic,345000000,Jawa Barat
2003,Honda Odyssey,132500,Automatic,80500000,Jawa Timur
2015,Toyota Kijang Innova,67500,Manual,165000888,Jawa Timur
2015,Suzuki Ertiga,62500,Automatic,122000000,DKI Jakarta
2016,Toyota Yaris,67500,Manual,165000888,Jawa Timur
2019,Suzuki Ignis,11000,Automatic,135000000,Jawa Timur
2018,Honda Brio,52500,Manual,125000888,Jawa Timur
2011,Toyota Avanza,102500,Manual,105000000,Jawa Timur
2015,Honda City,67500,Automatic,188000000,Jawa Timur
2017,Honda Brio,27500,Automatic,117000000,DKI Jakarta
2009,Honda Freed,132500,Automatic,128000888,Jawa Timur
2020,Daihatsu Sigra,12500,Manual,123000000,Jawa Timur
2013,Suzuki Ertiga,152500,Manual,115000888,Jawa Timur
2013,Suzuki Ertiga,67500,Manual,115000888,Jawa Timur
2018,Honda Jazz,22500,Manual,223500000,Jawa Timur
